token	tag_cafeteria_binary
Thus	O
,	O
a	O
new	O
milk	B
product	I
with	O
a	O
higher	O
calcium	O
content	O
and	O
lower	O
contents	O
of	O
protein	O
,	O
phosphorus	O
,	O
and	O
energy	O
was	O
developed	O
.	O
A	O
controlled	O
crossover	O
study	O
was	O
done	O
to	O
determine	O
the	O
way	O
in	O
which	O
substitution	O
of	O
the	O
new	O
milk	B
product	I
(	O
860	O
mL	O
)	O
for	O
normal	O
milk	B
(	O
1000	O
mL	O
)	O
in	O
the	O
diet	O
of	O
healthy	O
adults	O
affected	O
the	O
urinary	O
excretion	O
of	O
calcium	O
and	O
hydroxyproline	O
.	O
Short	O
-	O
term	O
consumption	O
of	O
the	O
product	O
significantly	O
lowered	O
24	O
-	O
h	O
urinary	O
calcium	O
excretion	O
by	O
approximately	O
0.65	O
+	O
/-	O
0.19	O
mmol	O
/	O
d	O
(	O
means	O
+	O
/-	O
SEM	O
,	O
p	O
less	O
than	O
0.001	O
)	O
.	O
The	O
ratio	O
of	O
fasting	O
urinary	O
hydroxyproline	O
to	O
creatinine	O
did	O
not	O
decrease	O
,	O
indicating	O
no	O
significant	O
reduction	O
of	O
bone	O
resorption	O
in	O
our	O
subjects	O
.	O
Elderly	O
people	O
in	O
particular	O
might	O
benefit	O
from	O
the	O
new	O
product	O
because	O
it	O
reduces	O
their	O
calcium	O
loss	O
as	O
well	O
as	O
their	O
intake	O
of	O
protein	O
,	O
phosphorus	O
,	O
energy	O
,	O
and	O
liquid	O
volume	O
.	O
Growing	O
evidence	O
from	O
animal	O
studies	O
supports	O
the	O
anti	O
-	O
diabetic	O
properties	O
of	O
some	O
dietary	O
polyphenols	O
,	O
suggesting	O
that	O
dietary	O
polyphenols	O
could	O
be	O
one	O
dietary	O
therapy	O
for	O
the	O
prevention	O
and	O
management	O
of	O
Type	O
2	O
diabetes	O
.	O
This	O
review	O
aims	O
to	O
address	O
the	O
potential	O
mechanisms	O
of	O
action	O
of	O
dietary	O
polyphenols	O
in	O
the	O
regulation	O
of	O
glucose	O
homeostasis	O
and	O
insulin	O
sensitivity	O
based	O
on	O
in	O
vitro	O
and	O
in	O
vivo	O
studies	O
,	O
and	O
to	O
provide	O
a	O
comprehensive	O
overview	O
of	O
the	O
anti	O
-	O
diabetic	O
effects	O
of	O
commonly	O
consumed	O
dietary	O
polyphenols	O
including	O
polyphenol	O
-	O
rich	O
mixed	O
diets	O
,	O
tea	B
and	O
coffee	B
,	O
chocolate	B
and	O
cocoa	B
,	O
cinnamon	B
,	O
grape	B
,	O
pomegranate	B
,	O
red	B
wine	I
,	O
berries	B
and	O
olive	B
oil	I
,	O
with	O
a	O
focus	O
on	O
human	O
clinical	O
trials	O
.	O
Dietary	O
polyphenols	O
may	O
inhibit	O
α	O
-	O
amylase	O
and	O
α	O
-	O
glucosidase	O
,	O
inhibit	O
glucose	O
absorption	O
in	O
the	O
intestine	O
by	O
sodium	O
-	O
dependent	O
glucose	O
transporter	O
1	O
(	O
SGLT1	O
)	O
,	O
stimulate	O
insulin	O
secretion	O
and	O
reduce	O
hepatic	O
glucose	O
output	O
.	O
Polyphenols	O
may	O
also	O
enhance	O
insulin	O
-	O
dependent	O
glucose	O
uptake	O
,	O
activate	O
5	O
'	O
adenosine	O
monophosphate	O
-	O
activated	O
protein	O
kinase	O
(	O
AMPK	O
)	O
,	O
modify	O
the	O
microbiome	O
and	O
have	O
anti	O
-	O
inflammatory	O
effects	O
.	O
However	O
,	O
human	O
epidemiological	O
and	O
intervention	O
studies	O
have	O
shown	O
inconsistent	O
results	O
.	O
Further	O
intervention	O
studies	O
are	O
essential	O
to	O
clarify	O
the	O
conflicting	O
findings	O
and	O
confirm	O
or	O
refute	O
the	O
anti	O
-	O
diabetic	O
effects	O
of	O
dietary	O
polyphenols	O
.	O
Overweight	O
and	O
obesity	O
constitute	O
a	O
global	O
pandemic	O
with	O
devastating	O
consequences	O
that	O
affect	O
>	O
2	O
billion	O
people	O
.	O
Obesity	O
plays	O
a	O
central	O
role	O
in	O
morbidity	O
and	O
mortality	O
of	O
diseases	O
of	O
multiple	O
organs	O
and	O
systems	O
,	O
and	O
it	O
is	O
a	O
major	O
contributor	O
to	O
the	O
growing	O
incidence	O
of	O
cancer	O
.	O
There	O
is	O
now	O
sufficient	O
level	O
of	O
evidence	O
for	O
the	O
association	O
between	O
overweight	O
and	O
11	O
types	O
of	O
cancer	O
,	O
among	O
which	O
are	O
two	O
of	O
the	O
most	O
common	O
cancers	O
worldwide	O
,	O
those	O
of	O
the	O
colorectum	O
and	O
postmenopausal	O
breast	O
.	O
Sedentary	O
lifestyle	O
,	O
unhealthy	O
diet	O
,	O
and	O
excessive	O
alcohol	B
intake	I
also	O
account	O
for	O
the	O
burden	O
of	O
cancer	O
by	O
promoting	O
obesity	O
.	O
The	O
risk	O
of	O
specific	O
types	O
of	O
cancer	O
is	O
also	O
directly	O
influenced	O
,	O
regardless	O
of	O
the	O
magnitude	O
of	O
adiposity	O
,	O
by	O
physical	O
inactivity	O
,	O
consumption	O
of	O
red	B
meat	I
,	O
processed	B
meat	I
and	O
ultra	B
-	I
processed	I
foods	I
,	O
dairy	B
products	I
,	O
alcohol	B
,	O
whole	B
grain	I
cereals	I
,	O
nuts	B
,	O
vegetables	B
,	O
and	O
fruits	B
.	O
Type	O
2	O
diabetes	O
is	O
another	O
global	O
health	O
threat	O
closely	O
associated	O
with	O
obesity	O
that	O
boosts	O
the	O
risk	O
of	O
cancer	O
driven	O
by	O
high	O
BMI	O
.	O
Education	O
to	O
promote	O
positive	O
choices	O
and	O
physical	O
activity	O
and	O
resolute	O
public	O
health	O
interventions	O
on	O
food	O
delivery	O
are	O
requested	O
to	O
reduce	O
the	O
burden	O
of	O
obesity	O
-	O
related	O
cancer	O
and	O
lighten	O
the	O
unsustainable	O
growing	O
expenses	O
to	O
health	O
systems	O
.	O
Spices	B
have	O
been	O
widely	O
used	O
as	O
food	O
flavorings	O
and	O
folk	O
medicines	O
for	O
thousands	O
of	O
years	O
.	O
Numerous	O
studies	O
have	O
documented	O
the	O
antioxidant	O
,	O
anti	O
-	O
inflammatory	O
and	O
immunomodulatory	O
effects	O
of	O
spices	B
,	O
which	O
might	O
be	O
related	O
to	O
prevention	O
and	O
treatment	O
of	O
several	O
cancers	O
,	O
including	O
lung	O
,	O
liver	O
,	O
breast	O
,	O
stomach	O
,	O
colorectum	O
,	O
cervix	O
,	O
and	O
prostate	O
cancers	O
.	O
Several	O
spices	B
are	O
potential	O
sources	O
for	O
prevention	O
and	O
treatment	O
of	O
cancers	O
,	O
such	O
as	O
Curcuma	B
longa	I
(	O
tumeric	B
)	O
,	O
Nigella	B
sativa	I
(	O
black	B
cumin	I
)	O
,	O
Zingiber	B
officinale	I
(	O
ginger	B
)	O
,	O
Allium	B
sativum	I
(	O
garlic	B
)	O
,	O
Crocus	B
sativus	I
(	O
saffron	B
)	O
,	O
Piper	B
nigrum	I
(	O
black	B
pepper	I
)	O
and	O
Capsicum	B
annum	I
(	O
chili	B
pepper	I
)	O
,	O
which	O
contained	O
several	O
important	O
bioactive	O
compounds	O
,	O
such	O
as	O
curcumin	O
,	O
thymoquinone	O
,	O
piperine	O
and	O
capsaicin	O
.	O
The	O
main	O
mechanisms	O
of	O
action	O
include	O
inducing	O
apoptosis	O
,	O
inhibiting	O
proliferation	O
,	O
migration	O
and	O
invasion	O
of	O
tumors	O
,	O
and	O
sensitizing	O
tumors	O
to	O
radiotherapy	O
and	O
chemotherapy	O
.	O
This	O
review	O
summarized	O
recent	O
studies	O
on	O
some	O
spices	B
for	O
prevention	O
and	O
treatment	O
of	O
cancers	O
,	O
and	O
special	O
attention	O
was	O
paid	O
to	O
bioactive	O
components	O
and	O
mechanisms	O
of	O
action	O
.	O
It	O
has	O
been	O
suggested	O
that	O
the	O
isoflavone	O
,	O
genistein	O
,	O
,	O
may	O
have	O
some	O
role	O
as	O
a	O
chemopreventive	O
agent	O
against	O
cancer	O
in	O
humans	O
.	O
Levels	O
of	O
genistein	O
and	O
its	O
beta	O
-	O
glucoside	O
conjugate	O
,	O
genistin	O
,	O
ingested	O
in	O
soybeans	B
and	O
related	O
bean	B
products	I
by	O
the	O
Japanese	O
were	O
quantified	O
by	O
HPLC	O
,	O
to	O
estimate	O
daily	O
intake	O
of	O
these	O
compounds	O
.	O
Amounts	O
of	O
genistein	O
and	O
genistin	O
in	O
soybeans	B
,	O
soy	B
nuts	I
and	O
soy	B
powder	I
were	O
in	O
the	O
range	O
of	O
4.6	O
to	O
18.2	O
and	O
200.6	O
to	O
968.1	O
micrograms	O
/	O
g	O
food	O
,	O
respectively	O
.	O
The	O
values	O
for	O
soy	B
milk	I
and	O
tofu	B
(	O
bean	B
curd	I
)	O
were	O
1.9	O
to	O
13.9	O
and	O
94.8	O
to	O
137.7	O
micrograms	O
/	O
g	O
food	O
,	O
respectively	O
.	O
Levels	O
of	O
isoflavones	O
in	O
fermented	O
soybean	B
products	I
,	O
miso	B
(	O
bean	B
paste	I
)	O
and	O
natto	B
(	O
fermented	B
soybeans	I
)	O
,	O
were	O
38.5	O
to	O
229.1	O
micrograms	O
/	O
g	O
food	O
for	O
genistein	O
and	O
71.7	O
to	O
492.8	O
micrograms	O
/	O
g	O
food	O
for	O
genistin	O
.	O
Thus	O
,	O
the	O
level	O
of	O
genistein	O
in	O
the	O
fermented	O
soybean	B
products	I
was	O
higher	O
than	O
in	O
soy	B
beans	I
and	O
soybean	B
products	I
such	O
as	O
soy	B
milk	I
and	O
tofu	B
.	O
From	O
these	O
observations	O
,	O
it	O
is	O
suggested	O
that	O
the	O
beta	O
-	O
glycosyl	O
bond	O
of	O
genistin	O
is	O
cleaved	O
to	O
produce	O
genistein	O
by	O
microbes	O
during	O
fermentation	O
to	O
yield	O
miso	B
and	O
natto	B
.	O
Soy	B
sauce	I
was	O
also	O
found	O
to	O
contain	O
both	O
isoflavones	O
,	O
but	O
at	O
levels	O
lower	O
than	O
in	O
miso	B
and	O
natto	B
.	O
On	O
the	O
basis	O
of	O
these	O
data	O
for	O
average	O
annual	O
consumption	O
of	O
soybeans	B
and	O
related	O
products	O
,	O
daily	O
intake	O
of	O
genistein	O
and	O
genistin	O
by	O
the	O
Japanese	O
is	O
calculated	O
to	O
be	O
1.5	O
-	O
4.1	O
and	O
6.3	O
-	O
8.3	O
mg	O
/	O
person	O
,	O
respectively	O
.	O
These	O
levels	O
are	O
much	O
higher	O
than	O
those	O
for	O
Americans	O
or	O
Western	O
Europeans	O
,	O
whose	O
mortality	O
rates	O
for	O
breast	O
,	O
colon	O
and	O
prostate	O
cancers	O
are	O
greater	O
than	O
the	O
Japanese	O
.	O
Squamous	O
head	O
and	O
neck	O
cancers	O
include	O
cancers	O
of	O
the	O
oral	O
cavity	O
,	O
pharynx	O
and	O
larynx	O
are	O
the	O
sixth	O
leading	O
cause	O
of	O
cancer	O
mortality	O
worldwide	O
,	O
resulting	O
in	O
more	O
than	O
350,000	O
deaths	O
annually	O
.	O
Intake	O
of	O
fruit	B
and	O
vegetables	B
may	O
protect	O
against	O
head	O
and	O
neck	O
cancer	O
incidence	O
,	O
although	O
few	O
prospective	O
studies	O
have	O
examined	O
this	O
association	O
.	O
We	O
investigated	O
this	O
relation	O
in	O
490,802	O
United	O
States	O
participants	O
of	O
the	O
NIH	O
-	O
AARP	O
Diet	O
and	O
Health	O
cohort	O
using	O
Cox	O
proportional	O
hazard	O
models	O
adjusted	O
for	O
potential	O
confounders	O
.	O
During	O
2,193,751	O
person	O
years	O
of	O
follow	O
-	O
up	O
from	O
1995/1996	O
-	O
2000	O
,	O
787	O
participants	O
were	O
diagnosed	O
with	O
head	O
and	O
neck	O
cancer	O
.	O
We	O
found	O
an	O
inverse	O
association	O
between	O
total	O
fruit	B
and	O
vegetable	B
intake	I
and	O
head	O
and	O
neck	O
cancer	O
risk	O
(	O
per	O
serving	O
/	O
day/1,000	O
calories	O
,	O
Hazard	O
Ratio	O
,	O
95	O
%	O
Confidence	O
interval	O
:	O
0.94	O
,	O
0.89	O
-	O
0.99	O
)	O
.	O
In	O
models	O
mutually	O
adjusted	O
for	O
fruit	B
and	O
vegetable	B
intake	I
,	O
the	O
association	O
was	O
stronger	O
for	O
vegetables	B
(	O
fifth	O
vs.	O
first	O
quintile	O
:	O
0.65	O
,	O
0.50	O
-	O
0.85	O
)	O
than	O
for	O
fruits	B
(	O
fifth	O
vs.	O
first	O
quintile	O
:	O
0.87	O
,	O
0.68	O
-	O
1.11	O
)	O
.	O
When	O
further	O
subclassified	O
into	O
botanical	O
groups	O
,	O
those	O
in	O
the	O
highest	O
tertile	O
of	O
leguminosae	B
(	O
dried	B
beans	I
,	O
string	B
beans	I
and	O
peas	B
,	O
0.80	O
,	O
0.67	O
-	O
0.96	O
)	O
,	O
rosaceae	B
(	O
apples	B
,	O
peach	B
,	O
nectarines	B
,	O
plums	B
,	O
pears	B
and	O
strawberries	B
,	O
0.60	O
,	O
0.49	O
-	O
0.73	O
)	O
,	O
solanaceae	B
(	O
peppers	B
and	O
tomatoes	B
,	O
0.82	O
,	O
0.69	O
-	O
0.98	O
)	O
and	O
umbelliferae	B
(	O
carrots	B
,	O
0.73	O
,	O
0.60	O
-	O
0.89	O
)	O
had	O
decreased	O
risk	O
of	O
head	O
and	O
neck	O
cancer	O
,	O
but	O
no	O
significant	O
associations	O
were	O
seen	O
for	O
9	O
other	O
botanical	O
groups	O
.	O
Results	O
from	O
this	O
large	O
prospective	O
observational	O
study	O
are	O
consistent	O
with	O
previous	O
case	O
-	O
control	O
studies	O
and	O
support	O
the	O
hypothesis	O
that	O
total	O
fruit	B
and	O
vegetable	B
intake	I
is	O
associated	O
with	O
reduced	O
risk	O
of	O
head	O
and	O
neck	O
cancer	O
.	O
Chocolate	B
and	O
other	O
cocoa	B
products	I
are	O
not	O
all	O
alike	O
.	O
They	O
differ	O
between	O
themselves	O
in	O
term	O
of	O
nutrients	O
,	O
calories	O
,	O
and	O
bioactive	O
constituents	O
.	O
Therefore	O
,	O
some	O
of	O
them	O
are	O
unhealthy	O
foods	O
,	O
whereas	O
others	O
do	O
not	O
affect	O
health	O
and	O
still	O
others	O
are	O
healthy	O
foods	O
.	O
One	O
wonders	O
which	O
chocolate	B
and	O
other	O
cocoa	O
derivatives	O
can	O
be	O
considered	O
as	O
biofunctional	O
food	O
products	O
.	O
This	O
review	O
explores	O
the	O
constituents	O
of	O
cocoa	B
and	O
chocolate	B
and	O
summarizes	O
evidence	O
about	O
the	O
role	O
of	O
cocoa	B
and	O
chocolate	O
components	O
on	O
human	O
health	O
and	O
particularly	O
on	O
reproduction	O
.	O
On	O
the	O
basis	O
of	O
the	O
literature	O
review	O
,	O
it	O
can	O
be	O
asserted	O
that	O
some	O
kinds	O
of	O
cocoa	B
products	I
have	O
favorable	O
effects	O
on	O
human	O
health	O
at	O
different	O
stages	O
of	O
life	O
.	O
Women	O
seem	O
to	O
be	O
particularly	O
favored	O
by	O
consuming	O
of	O
cocoa	B
products	I
,	O
and	O
chocolate	B
with	O
specific	O
features	O
can	O
also	O
be	O
a	O
good	O
supplementary	O
source	O
of	O
energy	O
for	O
pregnant	O
woman	O
.	O
However	O
,	O
many	O
aspects	O
remain	O
to	O
be	O
investigated	O
and	O
others	O
are	O
still	O
to	O
be	O
clarified	O
.	O
Future	O
studies	O
and	O
systematic	O
reviews	O
will	O
shed	O
light	O
on	O
some	O
preventive	O
effects	O
and	O
health	O
benefits	O
of	O
cocoa	B
products	I
.	O
Numerous	O
natural	O
herbs	B
have	O
been	O
proven	O
as	O
safe	O
anti	O
-	O
obesity	O
resources	O
.	O
Ginger	B
,	O
one	O
of	O
the	O
most	O
widely	O
consumed	O
spices	B
,	O
has	O
shown	O
beneficial	O
effects	O
against	O
obesity	O
and	O
related	O
metabolic	O
disorders	O
.	O
The	O
present	O
study	O
aimed	O
to	O
examine	O
whether	O
the	O
antiobesity	O
effect	O
of	O
ginger	B
is	O
associated	O
with	O
energy	O
metabolism	O
.	O
Mice	O
were	O
maintained	O
on	O
either	O
a	O
normal	O
control	O
diet	O
or	O
a	O
high	O
-	O
fat	O
diet	O
(	O
HFD	O
)	O
with	O
or	O
without	O
500	O
mg	O
/	O
kg	O
(	O
w	O
/	O
w	O
)	O
ginger	O
supplementation	O
.	O
After	O
16	O
weeks	O
,	O
ginger	O
supplementation	O
alleviated	O
the	O
HFD	O
-	O
induced	O
increases	O
in	O
body	O
weight	O
,	O
fat	O
accumulation	O
,	O
and	O
levels	O
of	O
serum	O
glucose	O
,	O
triglyceride	O
and	O
cholesterol	O
.	O
Indirect	O
calorimetry	O
showed	O
that	O
ginger	O
administration	O
significantly	O
increased	O
the	O
respiratory	O
exchange	O
ratio	O
(	O
RER	O
)	O
and	O
heat	O
production	O
in	O
both	O
diet	O
models	O
.	O
Furthermore	O
,	O
ginger	O
administration	O
corrected	O
the	O
HFD	O
-	O
induced	O
changes	O
in	O
concentrations	O
of	O
intermediates	O
in	O
glycolysis	O
and	O
the	O
TCA	O
cycle	O
.	O
Moreover	O
,	O
ginger	B
enhanced	O
brown	O
adipose	O
tissue	O
function	O
and	O
activated	O
white	O
adipose	O
tissue	O
browning	O
by	O
altering	O
the	O
gene	O
expression	O
and	O
protein	O
levels	O
of	O
some	O
brown	O
and	O
beige	O
adipocyte	O
-	O
selective	O
markers	O
.	O
Additionally	O
,	O
stimulation	O
of	O
the	O
browning	O
program	O
by	O
ginger	B
may	O
be	O
partly	O
regulated	O
by	O
the	O
sirtuin-1	O
(	O
SIRT1)/AMP	O
-	O
activated	O
protein	O
kinase	O
(	O
AMPK)/peroxisome	O
proliferator	O
-	O
activated	O
receptor	O
γ	O
coactivator	O
1α	O
(	O
PGC-1α	O
)	O
pathway	O
.	O
Taken	O
together	O
,	O
these	O
results	O
indicate	O
that	O
dietary	O
ginger	B
prevents	O
body	O
weight	O
gain	O
by	O
remodeling	O
whole	O
-	O
body	O
energy	O
metabolism	O
and	O
inducing	O
browning	O
of	O
white	O
adipose	O
tissue	O
(	O
WAT	O
)	O
.	O
Thus	O
,	O
ginger	B
is	O
an	O
edible	O
plant	O
that	O
plays	O
a	O
role	O
in	O
the	O
therapeutic	O
treatment	O
of	O
obesity	O
and	O
related	O
disorders	O
.	O
Intakes	O
of	O
dairy	B
produce	I
show	O
enormous	O
diversity	O
between	O
regions	O
,	O
cultures	O
,	O
and	O
individuals	O
around	O
the	O
world	O
.	O
At	O
the	O
geographic	O
level	O
,	O
intake	O
maps	O
closely	O
onto	O
the	O
distribution	O
of	O
lactase	O
persistence	O
(	O
LP	O
)	O
,	O
a	O
genetic	O
trait	O
that	O
allows	O
milk	B
to	O
be	O
consumed	O
beyond	O
the	O
weaning	O
period	O
without	O
gastrointestinal	O
side	O
effects	O
.	O
The	O
LP	O
trait	O
has	O
been	O
independently	O
selected	O
at	O
least	O
4	O
times	O
and	O
is	O
under	O
rapid	O
positive	O
selection	O
,	O
which	O
shows	O
that	O
dairy	B
consumption	I
has	O
positive	O
survival	O
benefits	O
.	O
For	O
people	O
lacking	O
the	O
LP	O
trait	O
,	O
the	O
fermentation	O
of	O
milk	B
into	O
yogurt	B
and	I
related	I
products	I
(	O
a	O
process	O
known	O
for	O
≥8500	O
y	O
)	O
aids	O
milk	O
digestion	O
through	O
the	O
breakdown	O
of	O
some	O
lactose	O
and	O
the	O
provision	O
of	O
β	O
-	O
galactosidase	O
,	O
which	O
remains	O
active	O
in	O
the	O
gastrointestinal	O
tract	O
.	O
In	O
global	O
ecologic	O
comparisons	O
,	O
milk	B
and	I
dairy	I
intakes	I
are	O
strongly	O
associated	O
with	O
adult	O
height	O
,	O
and	O
many	O
international	O
advisory	O
bodies	O
recommend	O
the	O
consumption	O
of	O
400	O
-	O
500	O
mL	O
milk	B
equivalents	O
/	O
d.	O
There	O
are	O
very	O
few	O
countries	O
where	O
such	O
high	O
intakes	O
are	O
met	O
,	O
and	O
in	O
populations	O
in	O
whom	O
intakes	O
are	O
much	O
lower	O
there	O
is	O
evidence	O
of	O
adaptations	O
that	O
help	O
to	O
maintain	O
bone	O
health	O
with	O
surprisingly	O
low	O
intakes	O
.	O
Despite	O
concerns	O
that	O
the	O
high	O
-	O
saturated	O
-	O
fat	O
content	O
of	O
full	B
-	I
fat	I
dairy	I
products	I
would	O
promote	O
heart	O
disease	O
,	O
recent	O
meta	O
-	O
analyses	O
show	O
that	O
dairy	B
consumption	I
is	O
neutral	O
or	O
beneficial	O
for	O
weight	O
control	O
,	O
coronary	O
disease	O
,	O
diabetes	O
,	O
hypertension	O
,	O
and	O
most	O
cancers	O
.	O
Yogurt	B
has	O
been	O
part	O
of	O
the	O
human	O
diet	O
for	O
thousands	O
of	O
years	O
,	O
and	O
during	O
that	O
time	O
a	O
number	O
of	O
health	O
benefits	O
have	O
been	O
associated	O
with	O
its	O
consumption	O
.	O
The	O
goal	O
of	O
the	O
First	O
Global	O
Summit	O
on	O
the	O
Health	O
Effects	O
of	O
Yogurt	B
was	O
to	O
review	O
and	O
evaluate	O
the	O
strength	O
of	O
current	O
scientific	O
knowledge	O
with	O
regard	O
to	O
the	O
health	O
benefits	O
of	O
yogurt	B
and	O
to	O
identify	O
areas	O
where	O
further	O
research	O
is	O
needed	O
.	O
The	O
evidence	O
base	O
for	O
the	O
benefits	O
of	O
yogurt	B
in	O
promoting	O
bone	O
health	O
,	O
maintaining	O
health	O
throughout	O
the	O
life	O
cycle	O
,	O
improving	O
diet	O
quality	O
,	O
and	O
reducing	O
the	O
incidence	O
of	O
chronic	O
diseases	O
,	O
such	O
as	O
obesity	O
,	O
metabolic	O
syndrome	O
,	O
and	O
cardiovascular	O
disease	O
,	O
was	O
presented	O
.	O
When	O
assessing	O
a	O
complex	O
food	O
matrix	O
,	O
rather	O
than	O
specific	O
nutrients	O
,	O
scientists	O
and	O
consumers	O
are	O
faced	O
with	O
new	O
challenges	O
as	O
to	O
how	O
