,ID,Food Concept,URLs
92,B000092,EVAPORATED MILK,FOODON_03301505;UBERON_0001913
93,B000093,BAKING POWDER,FOODON_03301940
94,B000094,PICKLING SPICE,FOODON_03303380;FOODON_03304737
95,B000095,BRINE,FOODON_03302715
96,B000096,TEMPERATURE,PATO_0000146
97,B000097,FISH SAUCE,FOODON_03317197;FOODON_03311146;FOODON_03411222
98,B000098,VERMICELLI,FOODON_03303926
99,B000099,SPRING,ENVO_00000027
100,B000100,BASIL,NCBITaxon_39350
101,B000101,FISH,NCBITaxon_7898;NCBITaxon_7777;FOODON_03411222
102,B000102,THAI,hancestro_0500;ancestro_0500
103,B000103,PAPRIKA,FOODON_03301105
104,B000104,CAYENNE PEPPER,FOODON_03315872
105,B000105,GRATED CHEESE,FOODON_03302803
106,B000106,POTATOES,NCBITaxon_4113
107,B000107,CHORIZO,FOODON_03316070
108,B000108,POTATO,NCBITaxon_4113
109,B000109,THYME,NCBITaxon_49992
110,B000110,CORN SYRUP,FOODON_03303225;FOODON_03301061;NCBITaxon_381124
111,B000111,LIME,FOODON_03305086
112,B000112,LEBANESE,ancestro_0443;hancestro_0443
113,B000113,FETA CHEESE,FOODON_03307280
114,B000114,VERMOUTH,FOODON_03307808
115,B000115,GELATIN,FOODON_03315647;CHEBI_5291
116,B000116,SHERRY,FOODON_03310760
117,B000117,PEANUT BUTTER,FOODON_03306867;FOODON_03310351;NCBITaxon_3818
118,B000118,RICE CEREAL,NCBITaxon_4530;FOODON_03310609
119,B000119,CHOCOLATE,FOODON_03307240
120,B000120,FLAX,NCBITaxon_4006
121,B000121,SEED,PO_0009010
122,B000122,MUSTARD POWDER,FOODON_03306359
123,B000123,CHEESE SPREAD,FOODON_03302019
124,B000124,PULSE,FOODON_00001168
125,B000125,BEER,FOODON_03301619
126,B000126,CHILE,GAZ_00002825
127,B000127,SLICED,FOODON_03430137
128,B000128,FRENCH,ancestro_0363;hancestro_0363
129,B000129,DIAMETER,PATO_0001334
130,B000130,CHILI PEPPER,FOODON_03315873
131,B000131,VEGETABLE SOUP MIX,FOODON_03309460;FOODON_03304911;FOODON_03315571
132,B000132,CHEESE DIP,FOODON_03302985
133,B000133,MAPLE SYRUP,FOODON_03303225;FOODON_03301848
134,B000134,APPLESAUCE,FOODON_03301126
135,B000135,CANOLA OIL,FOODON_03310387;FOODON_03302578
136,B000136,PLASTIC CONTAINER,FOODON_03500036;FOODON_03490172
137,B000137,TOP SHELL,FOODON_03412321
138,B000138,OYSTERS,NCBITaxon_6563
139,B000139,LIQUEUR,FOODON_03301008
140,B000140,WHIPPED TOPPING,FOODON_03302772
141,B000141,TOMATO PASTE,NCBITaxon_4081;FOODON_03301455
142,B000142,CELERY,NCBITaxon_117781
143,B000143,TUNA,FOODON_03411269
144,B000144,CELERY SALT,FOODON_03304738;NCBITaxon_117781;CHEBI_24866
145,B000145,ONION SALT,FOODON_03316347;CHEBI_24866;FOODON_03304740
146,B000146,ITALIAN SAUSAGE,ancestro_0307;FOODON_03317294
147,B000147,BAKING MIX,FOODON_03311630
148,B000148,CHERRY,FOODON_03301240
149,B000149,SEASONINGS,FOODON_03301189
150,B000150,PECAN,FOODON_03304764;NCBITaxon_32201
151,B000151,WHISKEY,FOODON_03302775
152,B000152,WAX,FOODON_03500015
153,B000153,REFRIED BEANS,FOODON_03304010
154,B000154,SEASONING MIX,FOODON_03302060
155,B000155,TOMATO,NCBITaxon_4081
156,B000156,SWISS CHEESE,FOODON_03303659;ancestro_0394
157,B000157,SWISS,hancestro_0394;ancestro_0394
158,B000158,COCKTAIL SAUCE,FOODON_03311146;FOODON_03307333
159,B000159,SWEET POTATO,NCBITaxon_4120;NCBITaxon_4113
160,B000160,TOMATO SAUCE,FOODON_03301217;FOODON_03311146;NCBITaxon_4081
161,B000161,BAGEL,FOODON_03309554
162,B000162,TOAST,FOODON_03306255
163,B000163,ALUMINUM,FOODON_03500042
164,B000164,SEASONING SALT,FOODON_03306222;CHEBI_24866
165,B000165,SALAD,FOODON_03316042
166,B000166,MANGO,NCBITaxon_29780
167,B000167,WINE VINEGAR,FOODON_03301228;FOODON_03301705
168,B000168,WHITE WINE,FOODON_03310273
169,B000169,ICE,ENVO_01001125;FOODON_03301926
170,B000170,MOLASSES,CHEBI_83163
171,B000171,JACK,FOODON_03411044
172,B000172,SAUSAGE MEAT,FOODON_03317646
173,B000173,PASTRY,FOODON_03315272
174,B000174,BRIE CHEESE,FOODON_03303508
175,B000175,OYSTER,FOODON_03411224
176,B000176,CURRY POWDER,FOODON_03306648;FOODON_03301842
177,B000177,PICKLE RELISH,FOODON_03310480;FOODON_03304648
178,B000178,CHILI SAUCE,FOODON_03311146;FOODON_03304583
179,B000179,COTTAGE CHEESE,FOODON_03301605
180,B000180,CURD,FOODON_03420245
181,B000181,FRESH WATER,ENVO_00002006;ENVO_00002011
182,B000182,MONOSODIUM GLUTAMATE,CHEBI_64220
183,B000183,GARLIC IN OIL,FOODON_03310387;NCBITaxon_4682;FOODON_03311708
184,B000184,HALF AND HALF,FOODON_03301794
185,B000185,PEANUT OIL,FOODON_03309857;FOODON_03310387;NCBITaxon_3818
186,B000186,TENDERLOIN,FOODON_03530217
187,B000187,COLBY CHEESE,FOODON_03303856
188,B000188,THICKNESS,PATO_0000915
189,B000189,QUINOA,NCBITaxon_63459
190,B000190,OATS,NCBITaxon_4498;FOODON_03315188
191,B000191,RUSSIAN,ancestro_0386;hancestro_0386
192,B000192,COCONUT MILK,FOODON_03303084;UBERON_0001913
193,B000193,PINEAPPLE,NCBITaxon_4615
194,B000194,SEA,ENVO_00000016
195,B000195,SOUP MIX,FOODON_03315571
196,B000196,HABANERO,NCBITaxon_80379
197,B000197,BUFFALO,FOODON_03411476
198,B000198,VEGETABLE STOCK,FOODON_03315835
199,B000199,RED WINE,FOODON_03310272
200,B000200,BROTH,FOODON_03309462
201,B000201,OREGANO,NCBITaxon_39352
202,B000202,BOUILLON,FOODON_03301468
203,B000203,PANCAKE MIX,FOODON_03315166;FOODON_03315258
204,B000204,ONION SOUP MIX,FOODON_03304821;FOODON_03309457;FOODON_03315571
205,B000205,CHUCK,FOODON_03530021
206,B000206,ONION SOUP,FOODON_03316347;FOODON_03304821
207,B000207,PAPAYA,NCBITaxon_3649
208,B000208,BARBEQUE SAUCE,FOODON_03302062;FOODON_03311146
209,B000209,CURRY PASTE,FOODON_03306648;FOODON_03302920
210,B000210,LEMON,FOODON_03301441
211,B000211,OIL GRILL,FOODON_03310387;FOODON_03315524
212,B000212,TAIL,FOODON_03530155
213,B000213,SPAGHETTI SAUCE,FOODON_03303886;FOODON_03311146
214,B000214,GRAPE JELLY,FOODON_03305954
215,B000215,CORIANDER,FOODON_03310370
216,B000216,PANCAKE,FOODON_03315258
217,B000217,CHICKEN BROTH,FOODON_03303004;FOODON_03411457;FOODON_03309462
218,B000218,MEXICAN,hancestro_0415;ancestro_0415
219,B000219,LEMON PEEL,FOODON_03306143;FOODON_03301441
220,B000220,WHEAT GERM,FOODON_03315184;FOODON_03301595;NCBITaxon_4565
221,B000221,WHEAT,FOODON_03315184;NCBITaxon_4565
222,B000222,FAT OR OIL,FOODON_03310387;FOODON_03420190
223,B000223,QUICHE,FOODON_03307177
224,B000224,FLAVORING EXTRACT,FOODON_03306145
225,B000225,YEAST,FOODON_03315025;FOODON_03411345
226,B000226,ORDER,NCBITaxon_order
227,B000227,FRUIT,PO_0009001
228,B000228,FLEXIBLE,PATO_0001544
229,B000229,APPLE,FOODON_03301710;NCBITaxon_3750
230,B000230,ROOT,FOODON_03420306
231,B000231,HOLLANDAISE SAUCE,FOODON_03301182;FOODON_03311146
232,B000232,ASIAGO CHEESE,FOODON_03301736
233,B000233,CROISSANT,FOODON_03309852
234,B000234,CANADIAN,ancestro_0354;hancestro_0354
235,B000235,PUDDING,FOODON_03301660
236,B000236,AMISH,ancestro_0316;hancestro_0316
237,B000237,WHOLE WHEAT FLOUR,FOODON_03315184;FOODON_03302340;FOODON_03301116;NCBITaxon_4565
238,B000238,WAFFLE,FOODON_03315259
239,B000239,CREAM OF CHICKEN SOUP,FOODON_03306286;FOODON_03305127
240,B000240,CHICKEN SOUP,FOODON_03306286;FOODON_03411457
241,B000241,METAL,FOODON_03500041
242,B000242,GHEE,FOODON_03310185
243,B000243,WHEAT BRAN,FOODON_03315184;NCBITaxon_4565;FOODON_03304608
244,B000244,APPLE PIE,FOODON_03301710;FOODON_00002475
245,B000245,SPICE,FOODON_03303380
246,B000246,BURRITO,FOODON_00002510
247,B000247,EGG YOLK,UBERON_0007378
248,B000248,CHEESE SAUCE,FOODON_03311146;FOODON_03304042
249,B000249,MALT,FOODON_03306040
250,B000250,CHEESE SUBSTITUTE,FOODON_03303869
251,B000251,CONFECTIONER'S SUGAR,FOODON_03304315;FOODON_03420108
252,B000252,FRENCH TOAST,ancestro_0363;FOODON_03302695;FOODON_03306255
253,B000253,RICOTTA CHEESE,FOODON_03302908
254,B000254,SANDWICH,FOODON_03301906
255,B000255,STRAWBERRY,NCBITaxon_3747
256,B000256,SCRAMBLED EGG,FOODON_03304791
257,B000257,SEMOLINA,FOODON_03303411
258,B000258,PORRIDGE,FOODON_03311555
259,B000259,STREAM,ENVO_00000023
260,B000260,ALMOND BUTTER,FOODON_03310875;FOODON_03310351;NCBITaxon_3755
261,B000261,WALNUT,FOODON_03316466
262,B000262,FINISH,ancestro_0321;hancestro_0321
263,B000263,GLUTEN,FOODON_03420177;FOODON_03301888
264,B000264,FROZEN,PATO_0001985
265,B000265,CREAM OF MUSHROOM SOUP,FOODON_00001287;FOODON_03305128
266,B000266,COD,FOODON_03411423
267,B000267,FISH FLAKES,FOODON_03411222;FOODON_03308602
268,B000268,ORANGE PEEL,FOODON_03309832;FOODON_03303116
269,B000269,MILLET,FOODON_03309702
270,B000270,PUDDING MIX,FOODON_03301660;FOODON_03310796
271,B000271,TUBE,FOODON_03490200
272,B000272,SPELT,NCBITaxon_58933
273,B000273,TIN,FOODON_03500043
274,B000274,FINELY GROUND,FOODON_03430106
275,B000275,TAPIOCA FLOUR,FOODON_03310681;FOODON_03307663;FOODON_03301116
276,B000276,ALOE VERA,NCBITaxon_34199;NCBITaxon_25641
277,B000277,PEACH,NCBITaxon_3760;FOODON_03315502;FOODON_03301719
278,B000278,GRAPEFRUIT JUICE,FOODON_03306174;NCBITaxon_37656
279,B000279,GRAPEFRUIT,FOODON_03301702;NCBITaxon_37656
280,B000280,COCOA,FOODON_03301072
281,B000281,STRAW,FOODON_03309894
282,B000282,DUST,ENVO_00002008
283,B000283,WHITE CHOCOLATE,FOODON_03307240;FOODON_03301329
284,B000284,CHOCOLATE SYRUP,FOODON_03301317;FOODON_03307240;FOODON_03303225
285,B000285,COFFEE CREAMER,FOODON_03305264
286,B000286,FLAXSEED MEAL,FOODON_03306424
287,B000287,GLAZE,FOODON_03315146
288,B000288,GOUDA CHEESE,FOODON_03303514
289,B000289,KEFIR,FOODON_03310290
290,B000290,POTATO FLOUR,FOODON_03302378;FOODON_03301116;NCBITaxon_4113
291,B000291,XANTHAN GUM,FOODON_03413321
292,B000292,STARCH,FOODON_03301000
293,B000293,ORANGE JUICE CONCENTRATE,FOODON_03309832;FOODON_03311343
294,B000294,PINEAPPLE JUICE,FOODON_03301276;NCBITaxon_4615;FOODON_00002120
295,B000295,APRICOT,NCBITaxon_36596;FOODON_03301701
296,B000296,BOTTLE,FOODON_03490214
297,B000297,CARAMEL,FOODON_03317034
298,B000298,CIDER,FOODON_00001276
299,B000299,RICE FLOUR,NCBITaxon_4530;FOODON_03307541;FOODON_03301116
300,B000300,CLAM JUICE,FOODON_03307952;FOODON_03411331
301,B000301,VODKA,FOODON_03305518
302,B000302,STALK,PO_0025066
303,B000303,STRAWBERRY JAM,NCBITaxon_3747;FOODON_03301124;FOODON_03309973
304,B000304,WHIPPED CREAM,FOODON_03302897
305,B000305,CHEESECAKE,FOODON_03301729
306,B000306,SAND,ENVO_01000017
307,B000307,ALMOND PASTE,FOODON_03305617;NCBITaxon_3755
308,B000308,FRUIT COCKTAIL,PO_0009001;FOODON_03315597
309,B000309,SWEETENED CONDENSED MILK,FOODON_03304384;UBERON_0001913
310,B000310,HORSE,NCBITaxon_9796;FOODON_03411229
311,B000311,PRUNE JUICE,FOODON_03316905;FOODON_00002177;FOODON_03303632
312,B000312,PRUNE,FOODON_03316905
313,B000313,MARASCHINO CHERRY,FOODON_03301256;FOODON_03301240
314,B000314,JELLY ROLL,FOODON_03305899
315,B000315,CANDY,FOODON_03301051
316,B000316,STEEL,FOODON_03500044
317,B000317,FIGS,NCBITaxon_3493
318,B000318,DECORATING SUGAR,FOODON_03310913;FOODON_03420108
319,B000319,MARSHMALLOW,FOODON_03305639;NCBITaxon_145745
320,B000320,CUPCAKE,FOODON_03306616
321,B000321,CAKE MIX,FOODON_03317068
322,B000322,VANILLA PUDDING MIX,NCBITaxon_51238;FOODON_03310796;FOODON_03307096
323,B000323,EGGNOG,FOODON_03301802
324,B000324,RUM,FOODON_03301614
325,B000325,CHOCOLATE CHIP,FOODON_03307240;FOODON_03304096
326,B000326,CHOCOLATE CAKE MIX,FOODON_03317068;FOODON_03305417;FOODON_03302884
327,B000327,CHOCOLATE CAKE,FOODON_03307240;FOODON_03305417
328,B000328,SUGAR TOPPING,FOODON_03316039;FOODON_03420108
329,B000329,CUSTARD,FOODON_03302946
330,B000330,APPLE PIE FILLING,FOODON_03306766;FOODON_03305680;FOODON_00002475
331,B000331,MANDARIN ORANGE,NCBITaxon_85571;FOODON_03309832
332,B000332,HEAVY CREAM,FOODON_03420161;FOODON_03310795
333,B000333,COOKIE DOUGH,FOODON_03310689;FOODON_03301585
334,B000334,DARK CHOCOLATE,FOODON_03307240;FOODON_03303588
335,B000335,CERAMIC,FOODON_03500038
336,B000336,EYE,UBERON_0000970
337,B000337,PIE FILLING,FOODON_03306766
338,B000338,PEAR,FOODON_03301724;NCBITaxon_23211
339,B000339,CHOCOLATE PUDDING MIX,FOODON_03307240;FOODON_03310796;FOODON_03307098
340,B000340,JAM,FOODON_03309973
341,B000341,TAPIOCA,FOODON_03307663
342,B000342,CHERRY PIE,FOODON_00001720;FOODON_03306764;FOODON_03301240
343,B000343,PRETZEL,FOODON_03303929
344,B000344,RASPBERRY PRESERVES,FOODON_03311373
345,B000345,CHINESE,hancestro_0021;ancestro_0021
346,B000346,BUTTER SAUCE,FOODON_03310351;FOODON_03302627;FOODON_03311146
347,B000347,DRY MIX,FOODON_03530090
348,B000348,YELLOW CAKE MIX,FOODON_03302835;FOODON_03317068
349,B000349,CARROT,NCBITaxon_4039
350,B000350,LENGTH,PATO_0000122
351,B000351,TOFFEE,FOODON_03303765
352,B000352,PEPPERMINT,FOODON_03303920;NCBITaxon_34256
353,B000353,HAZELNUTS,NCBITaxon_13450
354,B000354,MACADAMIA,NCBITaxon_4329
355,B000355,CORN FLAKES,NCBITaxon_381124;FOODON_03302904
356,B000356,INFANT CEREAL,FOODON_03301336
357,B000357,PALMS,NCBITaxon_4710
358,B000358,GINGERBREAD,FOODON_03301912
359,B000359,CITRUS,NCBITaxon_2706
360,B000360,CUSTARD POWDER,FOODON_03302923;FOODON_03302946
361,B000361,LARD,FOODON_03302051
362,B000362,SWEET CHOCOLATE,FOODON_03307240;FOODON_03310448
363,B000363,TEQUILA,FOODON_03304704
364,B000364,IRISH,ancestro_0383;hancestro_0383
365,B000365,GIN,FOODON_03309491
366,B000366,BURGUNDY WINE,FOODON_03304564
367,B000367,LEMONADE,FOODON_03301630
368,B000368,LIMEADE,FOODON_03307062
369,B000369,COFFEE MIXTURE,CHEBI_60004;FOODON_03317674
370,B000370,CHAMPAGNE,FOODON_03301564
371,B000371,TONIC WATER,FOODON_03307660;ENVO_00002006
372,B000372,BEVERAGE,FOODON_03301977
373,B000373,CRANBERRY JUICE,FOODON_03301671
374,B000374,PUERTO RICAN,hancestro_0421;ancestro_0421
375,B000375,BITTERS,FOODON_03302713
376,B000376,RYE,NCBITaxon_4550
377,B000377,SELTZER WATER,ENVO_00002006;FOODON_03309897
378,B000378,CRANBERRY SAUCE,FOODON_03301244;FOODON_03311146
379,B000379,GINGER ALE,NCBITaxon_94328;FOODON_03302111;FOODON_03307130
380,B000380,SNAKES,NCBITaxon_8570
381,B000381,GUMMY,FOODON_03430176
382,B000382,TOMATO JUICE,NCBITaxon_4081;FOODON_03301454
383,B000383,PASSION FRUIT JUICE,FOODON_00002087;FOODON_03411634
384,B000384,PASSION FRUIT,NCBITaxon_78168;PO_0009001;FOODON_03411634
385,B000385,CREAM LIQUEUR,FOODON_03301638;FOODON_03301008
386,B000386,SPIRULINA,FOODON_03412039
387,B000387,PINEAPPLE AND ORANGE JUICE,FOODON_03304098;FOODON_03309832;NCBITaxon_4615
388,B000388,ORANGE JUICE BLEND,FOODON_03306030;FOODON_03309832
389,B000389,FROZEN YOGURT,PATO_0001985;FOODON_03307445
390,B000390,BRANDY,FOODON_03301632
391,B000391,GRAPE JUICE,FOODON_00001926;FOODON_03301127
392,B000392,HONEY SYRUP,FOODON_03303225;UBERON_0036016;FOODON_03305528
393,B000393,TEA BAG,FOODON_03310489
394,B000394,SODA WATER,FOODON_03302269;ENVO_00002006
395,B000395,MONKEY,FOODON_03412439;NCBITaxon_9527;NCBITaxon_9479
396,B000396,POMEGRANATE,NCBITaxon_22663
397,B000397,CASHEW BUTTER,FOODON_03310351;NCBITaxon_171929;FOODON_03303382
398,B000398,HEMP,NCBITaxon_3483
399,B000399,ROOT BEER,FOODON_03301047;FOODON_03420306;FOODON_03301619
400,B000400,SANGRIA,FOODON_03317455
401,B000401,GLASS CONTAINER,FOODON_03490130;FOODON_03500040
402,B000402,NUT MILK,UBERON_0001913;FOODON_03420214
403,B000403,FLAXSEED OIL,FOODON_03310387;FOODON_03460852
404,B000404,CLASS,NCBITaxon_class
405,B000405,MARGARITA MIX,FOODON_03305159
406,B000406,MANGOSTEEN,NCBITaxon_58228
407,B000407,CHOCOLATE DRINK,FOODON_03307240;FOODON_03306569
408,B000408,SHERBET,FOODON_03302854
409,B000409,PORT WINE,FOODON_03311271
410,B000410,SWEDISH,ancestro_0393;hancestro_0393
411,B000411,VANILLA POWDER,FOODON_03316761;NCBITaxon_51238
412,B000412,MACE,NCBITaxon_51089
413,B000413,CHERRY JUICE,FOODON_00001718;FOODON_03301144;FOODON_03301240
414,B000414,CHICKPEA,NCBITaxon_3827
415,B000415,SQUASH,FOODON_03301577
416,B000416,LEG,UBERON_0000978
417,B000417,CIDER VINEGAR,FOODON_03301705;FOODON_00001276;FOODON_03307916
418,B000418,SPICE MIXTURE,FOODON_03303380;FOODON_03304292;CHEBI_60004
419,B000419,TANDOORI,FOODON_03317543
420,B000420,MEAT SAUCE,FOODON_03311146;FOODON_03304132
421,B000421,CELERY SEED,FOODON_03301862;NCBITaxon_117781;PO_0009010
422,B000422,MEATLOAF,FOODON_03315662
423,B000423,BOUILLON CUBE,FOODON_03301469;FOODON_03301468
424,B000424,LAMB,FOODON_03411669
425,B000425,SCALLOPS,NCBITaxon_6566
426,B000426,SPICE RUB,FOODON_03303380;FOODON_00002500
427,B000427,BROWN GRAVY MIX,FOODON_03305313;FOODON_03305336
428,B000428,ENCHILADA SAUCE,FOODON_03304007;FOODON_03311146
429,B000429,BUTTER WITH GARLIC,FOODON_03310351;FOODON_03302520;NCBITaxon_4682
430,B000430,RICE WINE,NCBITaxon_4530;FOODON_03307312
431,B000431,BROWN GRAVY,FOODON_03305313
432,B000432,BEEF BROTH,FOODON_03309462;FOODON_03302091
433,B000433,FAMILY,NCBITaxon_family
434,B000434,LIVER,UBERON_0002107
435,B000435,OYSTER SAUCE,FOODON_03411224;FOODON_03317654;FOODON_03311146
436,B000436,MEAT TENDERIZER,FOODON_03301313
437,B000437,PEANUT SAUCE,FOODON_03311869;NCBITaxon_3818;FOODON_03311146
438,B000438,HALIBUT,FOODON_03411532
439,B000439,HOISIN SAUCE,FOODON_00002526;FOODON_03311146
440,B000440,DUTCH,hancestro_0320;ancestro_0320
441,B000441,WILD RICE,NCBITaxon_4530;NCBITaxon_15949
442,B000442,GARLIC OIL,FOODON_03310387;FOODON_03309417;NCBITaxon_4682
443,B000443,PEA,NCBITaxon_3888
444,B000444,FISH SKIN,FOODON_03308045;FOODON_03411222
445,B000445,BAKED BEANS,FOODON_03301946
446,B000446,KIDNEY,UBERON_0002113
447,B000447,APRICOT PRESERVES,FOODON_03301701;FOODON_03306398
448,B000448,APPLE JELLY,FOODON_03305889;FOODON_03301710
449,B000449,LOIN,FOODON_03530031
450,B000450,APRICOT JAM,FOODON_03305781;FOODON_03301701;FOODON_03309973
451,B000451,TILAPIA,NCBITaxon_8126;FOODON_03412434
452,B000452,BRISKET,FOODON_03530020
453,B000453,CHILI PASTE,FOODON_03315435
454,B000454,TACO SHELL,FOODON_03310227
455,B000455,YELLOW MUSTARD,NCBITaxon_3728
456,B000456,GORGONZOLA CHEESE,FOODON_03303502
457,B000457,COUSCOUS,FOODON_03303207
458,B000458,MAHI MAHI,FOODON_03411917
459,B000459,AMERICAN,hancestro_0463;ancestro_0463
460,B000460,GARLIC IN BUTTER,FOODON_03310351;NCBITaxon_4682;FOODON_03311709
461,B000461,INCH,UO_0010011
462,B000462,HOUR,UO_0000032
463,B000463,NORI,FOODON_03315448
464,B000464,HOT DOG,NCBITaxon_9615;FOODON_00001009
465,B000465,DOG,NCBITaxon_9615;FOODON_03414847
466,B000466,DOGS,NCBITaxon_9615
467,B000467,LOBSTER,FOODON_03411505
468,B000468,SECOND,UO_0000010
469,B000469,MINUTE,UO_0000031
470,B000470,POUND,UO_0010034
471,B000471,QUART,UO_0010029
472,B000472,WEEK,UO_0000034
473,B000473,MASA,FOODON_00002529
474,B000474,GRUYERE CHEESE,FOODON_03303686
475,B000475,CLAM,FOODON_03411331
476,B000476,WATER CHESTNUT,NCBITaxon_22666;ENVO_00002006
477,B000477,GALLON,UO_0010030
478,B000478,DILL PICKLE,FOODON_03306757
479,B000479,PATE,FOODON_03315925
480,B000480,BREAD STUFFING MIX,FOODON_03310702
481,B000481,DAB,NCBITaxon_27771
482,B000482,PEARS,NCBITaxon_3766
483,B000483,EGG ROLL,FOODON_03303375
484,B000484,ENGLISH MUFFIN,FOODON_03305833
485,B000485,TOMATO SOUP,FOODON_03304909;NCBITaxon_4081
486,B000486,PLAIN,ENVO_00000086
487,B000487,RELISH,FOODON_03304648
488,B000488,THOUSAND ISLAND DRESSING,FOODON_03304032;FOODON_03315498
489,B000489,WHEAT CEREAL,FOODON_03312031;NCBITaxon_4565
490,B000490,ITALIAN BREAD,ancestro_0307;FOODON_03302692
491,B000491,NACHOS,FOODON_00002533
492,B000492,SNAKE,FOODON_03411295
493,B000493,SWEET PICKLE,FOODON_03306940
494,B000494,PUMPERNICKEL BREAD,FOODON_03302357
495,B000495,CONCH,FOODON_03411259
