ID|Food Concept|Semantic Tags
A000041|CHEESE|AG.01.ae.01 [Wine-making];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000042|ROLLED TORTILLAS|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake]
A000043|MEAT SLICE|AG.01.t.08 [Equipment for food preparation];AG.01.d [Animals for food];AG.01 [Food]
A000044|PICKLE PIECE|AG.01.n.11 [Bread];AG.01.t.06 [Preserving/pickling]
A000045|MEAT|AG.01.d [Animals for food];AG.01.n [Dishes and prepared food];AG.01 [Food]
A000046|DRY RANCH SALAD DRESSING MIX|AG.01.m [Substances for food preparation];AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables]
A000047|MILK|AG.01.a [Qualities of food];AG.01.e [Dairy produce];AE.10 [Fish]
A000048|CHEDDAR CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000049|RICE|AG.01.i [Corn/cereals/grain];AF.20.g [Cereal/corn/grain]
A000050|COLD WATER|AG.01.z [Water]
A000051|GROUND LAMB|AG.01.d.04 [Mutton];AG.01.t.05 [Preparation for table/cooking]
A000052|ALLSPICE|AG.01.l.03 [Spice];AG.01.w [Setting table]
A000053|PEPPER|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000054|MEAT MIXTURE|AG.01.d [Animals for food];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food];AG.01 [Food]
A000055|LEAF|AF.10.e [Leaf]
A000056|LEAF-ROLLS|AG.01 [Food]
A000057|ROLLS|AG.01.n.11 [Bread];AE [Animals]
A000058|GRAPE LEAVES|AG.01.h.01.b [Berry];AF.10.e [Leaf]
A000059|BEET JUICE|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash]
A000060|BROWN SUGAR|AG.01 [Food]
A000061|VINEGAR|AG.01.ae.01 [Wine-making];AG.01.l [Additive]
A000062|CLOVES|AG.01.l.03 [Spice];AG.01.h.02.e [Onion/leek/garlic]
A000063|CINNAMON STICK|AG.01.l.03 [Spice]
A000064|BEETS|AG.01 [Food]
A000065|LIQUID MIXTURE|AG.01 [Food]
A000066|HARD COOKED EGGS|AG.01.t.07 [Cooking];AG.01.g [Eggs]
A000067|SHELLS|AE.12.b [Order Chelonia (turtles, tortoises)];AE.08 [Invertebrates];AE.07.d [Covering/skin];AG.01.o [Animal food];AF.10 [Part of plant]
A000068|LIQUID|AG.01.b [Consistency of food];AG.01 [Food]
A000069|EGGS|AG.01.g [Eggs]
A000070|EGG WHITES|AG.01.k [Flour];AG.01.y.01.a [Wine];AG.01.g [Eggs]
A000071|VANILLA EXTRACT|AF.20.h [Yielding condiments/used in food preparation];AF.12 [Particular plants/herbs/shrubs]
A000072|WHITE SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000073|CINNAMON|AG.01.l.03 [Spice];AE.13.a [Wild/domestic birds]
A000074|ALMOND MIXTURE|AG.01.af [Tea manufacture];AG.01.n.17 [Confections/sweetmeats];AG.01.h.01.f [Nut]
A000075|COATING|AG.01 [Food]
A000076|CORN|AF.20.g [Cereal/corn/grain];AG.01.i [Corn/cereals/grain];AG.01 [Food]
A000077|ORANGE BELL PEPPER|AG.01.l.03 [Spice]
A000078|JALAPENO PEPPER|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000079|RED ONION|AG.01.h.02.e [Onion/leek/garlic];AG.01.d [Animals for food]
A000080|CILANTRO|AG.01 [Food]
A000081|LIME JUICE|AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation];AG.01.h.01.a [Citrus fruit]
A000082|CRUSHED RED PEPPER|AG.01.l.03 [Spice];AG.01.w [Setting table]
A000083|CHICKEN|AG.01.d.06 [Fowls];AE.13.h.01 [Genus Gallus (domestic fowl)]
A000084|CABBAGE|AG.01.h.02.d [Cabbage/kale];AG.01.h.02.c [Leaf vegetables]
A000085|CARROTS|AG.01.h.02.a [Root vegetable]
A000086|GREEN ONIONS|AG.01.h.02.e [Onion/leek/garlic];AG.01.d [Animals for food];AG.01.y.01.a [Wine];AG.01.t.07 [Cooking];AG.01.o [Animal food]
A000087|GREEN BEANS|AF.20.f [Pulses/plants producing pulses]
A000088|GREEN BELL PEPPER|AG.01.l.03 [Spice]
A000089|ZUCCHINI|AG.01.h.02.f [Fruits as vegetables]
A000090|FLOUR|AG.01.j [Meal];AG.01.k [Flour]
A000091|CHICKEN STOCK|AG.01.d.06 [Fowls];AE.13.h.01 [Genus Gallus (domestic fowl)]
A000092|SOY SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000093|BATTER|AG.01.m [Substances for food preparation];AG.01 [Food]
A000094|SESAME OIL|AG.01.i [Corn/cereals/grain];AG.01.f [Fat/oil]
A000095|PORK SAUSAGE|AG.01.d.05 [Pork];AG.01.n.05 [Sausage]
A000096|SAUSAGE|AG.01.n.05 [Sausage]
A000097|SAUSAGE MIXTURE|AG.01.n.05 [Sausage];AG.01.af [Tea manufacture]
A000098|DRAINED SAUERKRAUT|AG.01 [Food]
A000099|MUSTARD|AG.01.l.03 [Spice]
A000100|GARLIC SALT|AG.01.h.02.e [Onion/leek/garlic];AG.01.l.01 [Salt];AG.01.w [Setting table]
A000101|BREAD CRUMBS|AG.01.n.11 [Bread];AG.01.p [Amounts of food]
A000102|PARSLEY|AG.01.h.02.i [Herb]
A000103|SAUERKRAUT MIXTURE|AG.01.af [Tea manufacture]
A000104|EGG|AG.01.g [Eggs]
A000105|FLOURED BALLS|AG.01 [Food]
A000106|EGG MIXTURE|AG.01.af [Tea manufacture];AG.01.g [Eggs]
A000107|GROUND BEEF|AG.01.d.03 [Beef];AG.01.t.05 [Preparation for table/cooking]
A000108|CRUMBLES|AG.01.n.08 [Prepared fruit and dishes]
A000109|FAT|AG.01.t.07 [Cooking];AG.01.f [Fat/oil]
A000110|SOUR CREAM|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food]
A000111|KETCHUP|AG.01 [Food]
A000112|GARLIC POWDER|AG.01.h.02.e [Onion/leek/garlic];AG.01.l [Additive]
A000113|BISCUITS|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit]
A000114|BISCUIT|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit]
A000115|BEEF MIXTURE|AG.01.d.03 [Beef];AG.01.af [Tea manufacture]
A000116|MELTED BUTTER|AG.01.e.01 [Butter];AG.01.t.07 [Cooking];AG.01.n [Dishes and prepared food]
A000117|PEPPERONI|AG.01 [Food]
A000118|BANANA PEPPERS|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table];AG.01.h.01 [Fruit/a fruit]
A000119|NACHOS|AG.01 [Food]
A000120|PIZZA SAUCE|AG.01.n.11 [Bread];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000121|RANCH DRESSING MIX|AG.01.m [Substances for food preparation];AG.01.t.05 [Preparation for table/cooking]
A000122|DILL|AG.01.l.03 [Spice];AG.01.h.02.i [Herb]
A000123|SALTED WATER|AG.01.z [Water];AG.01.t.05 [Preparation for table/cooking]
A000124|SPAGHETTI|AG.01.n [Dishes and prepared food]
A000125|BOILING WATER|AG.01.z [Water];AG.01.t.07 [Cooking]
A000126|COOKING SPRAY|AG.01.t.07 [Cooking];AG.01.f [Fat/oil]
A000127|COOLED SPAGHETTI|AG.01.n [Dishes and prepared food]
A000128|NOODLES|AG.01.n [Dishes and prepared food]
A000129|MEATBALLS|AG.01.p [Amounts of food];AG.01 [Food]
A000130|PASTA SAUCE|AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01.n [Dishes and prepared food]
A000131|MEATBALL|AE [Animals];AG.01 [Food]
A000132|PASTA|AG.01 [Food]
A000133|NUT|AG.01.d [Animals for food];AG.01.h.01.f [Nut]
A000134|SHELL|AE.12.b [Order Chelonia (turtles, tortoises)];AE.08 [Invertebrates];AG.01 [Food];AF.10.l [Wood, other part of tree/woody plant];AE.07.d [Covering/skin];AE.08.c [Phylum Mollusca (moluscs)];AF.10.h [Reproductive product - fruit, nut];AG.01.o [Animal food]
A000135|NUTS|AF.10.h [Reproductive product - fruit, nut];AG.01.d [Animals for food];AG.01.h.01.f [Nut]
A000136|BUTTER|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.e.01 [Butter];AG.01.n.11 [Bread];AG.01.m [Substances for food preparation]
A000137|CHESTNUTS|AE.14.j [Family Equidae (general equines)];AG.01.h.01.c [Apple];AF.13 [Particular tree/shrub]
A000138|CRACKER CRUMBS|AG.01.n.11 [Bread];AG.01 [Food]
A000139|CHOPPED ONION|AG.01.h.02.e [Onion/leek/garlic]
A000140|NUTMEG|AG.01.h.01.c [Apple];AG.01.h.01.d [Pear];AG.01.h.01 [Fruit/a fruit];AG.01.l.03 [Spice];AG.01.h.01.e [Fruit containing stone]
A000141|SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01 [Food]
A000142|BACON SLICES|AG.01.d.05 [Pork];AG.01.t.08 [Equipment for food preparation]
A000143|BACON SLICE|AG.01.d.05 [Pork];AG.01.t.08 [Equipment for food preparation]
A000144|BACON-WRAPPED CHICKEN PIECES|AG.01.d.06 [Fowls];AG.01.n.11 [Bread]
A000145|SUGAR-RANCH DRESSING MIXTURE|AG.01.m [Substances for food preparation];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000146|BACON WRAPS|AG.01.d.05 [Pork]
A000147|BACON|AG.01.d.05 [Pork]
A000148|CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A000149|PEANUTS|AG.01.h.01.f [Nut]
A000150|SYRUP|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000151|WINGS|AE.13 [Class Aves (birds)];AE.07.b [Body and limbs];AG.01 [Food]
A000152|WHITE PEPPER|AG.01.l.03 [Spice];AG.01.w [Setting table]
A000153|MARGARINE|AG.01.f [Fat/oil]
A000154|HOT PEPPER SAUCE|AG.01.h [Fruit and vegetables];AG.01 [Food];AG.01.l.03 [Spice];AG.01.l.04 [Sauce/dressing];AG.01.h.02.f [Fruits as vegetables];AG.01.w [Setting table]
A000155|CHICKEN WINGS|AG.01.d.06 [Fowls]
A000156|BLUE CHEESE DRESSING|AG.01.e.02 [Cheese]
A000157|BLUE CHEESE|AG.01 [Food]
A000158|BAKED CHICKEN WINGS|AG.01.d.06 [Fowls];AG.01.t.07 [Cooking]
A000159|CRABMEAT|AG.01.d.07 [Seafood];AG.01 [Food]
A000160|GINGER|AG.01.l.03 [Spice]
A000161|PATTIES|AG.01.n.17.a [Sweets];AG.01.n.15 [Pastry];AG.01.n [Dishes and prepared food]
A000162|CRAB CAKES|AG.01.d.07 [Seafood];AG.01.n.13 [Cake];AG.01.o [Animal food]
A000163|RICE VINEGAR|AG.01.ae.01 [Wine-making];AG.01.i [Corn/cereals/grain];AG.01.l [Additive]
A000164|SEAWEED SHEETS|AF.19 [Algae, seaweed]
A000165|CUCUMBER|AG.01.h.02.f [Fruits as vegetables]
A000166|IMITATION CRABMEAT|AG.01.d.07 [Seafood];AG.01 [Food]
A000167|SUSHI|AG.01 [Food]
A000168|TOPPINGS|AG.01 [Food]
A000169|SEAWEED SHEET|AF.19 [Algae, seaweed]
A000170|ROLL|AG.01.n.11 [Bread]
A000171|MINCED GINGER|AG.01.l.03 [Spice]
A000172|CAULIFLOWER|AG.01.h.02.d [Cabbage/kale]
A000173|ITALIAN DRESSING|AG.01.l.04 [Sauce/dressing]
A000174|BACON BITS|AG.01.d.05 [Pork]
A000175|SALMON|AG.01.d.07 [Seafood];AG.01.h.02.a [Root vegetable]
A000176|HORSERADISH|AG.01 [Food]
A000177|PECANS|AG.01.t.07 [Cooking];AG.01.h.01.f [Nut]
A000178|ASSORTED CRACKERS|AG.01 [Food]
A000179|SHRIMP SOUP|AG.01.d.07 [Seafood];AG.01.n.02 [Soup/pottage]
A000180|BLACK-EYED PEAS|AG.01.h.02.g [Pulse]
A000181|TOMATOES|AG.01.h.02.f [Fruits as vegetables]
A000182|BALSAMIC VINEGAR|AG.01.ae.01 [Wine-making];AG.01.l [Additive]
A000183|JALAPENO PEPPERS|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000184|UNPOPPED POPCORN|AG.01 [Food]
A000185|COATED CORN|AG.01.i [Corn/cereals/grain]
A000186|SOY SAUCE MIXTURE|AG.01.af [Tea manufacture];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000187|PEACHES|AG.01.h.01.e [Fruit containing stone];AG.01.y.01.e [Brandy]
A000188|RED BELL PEPPER|AG.01.l.03 [Spice];AG.01.w [Setting table]
A000189|BLACK PEPPER|AG.01 [Food]
A000190|AVOCADO|AG.01.h.01.e [Fruit containing stone]
A000191|SALSA|AG.01.l.04 [Sauce/dressing]
A000192|BROWN BEEF|AG.01.d.03 [Beef]
A000193|TACO SAUCE|AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000194|CHILI POWDER|AG.01.l [Additive];AG.01 [Food]
A000195|CUMIN|AG.01 [Food]
A000196|BEAN MIXTURE|AG.01.af [Tea manufacture];AG.01 [Food]
A000197|CASSEROLE|AG.01.n.01 [Food by way of preparation];AG.01.n [Dishes and prepared food]
A000198|ONIONS|AG.01.h.02.e [Onion/leek/garlic]
A000199|PEPPERS|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000200|MUSHROOM CAPS|AG.01.h.02.h [Fungi]
A000201|MUSHROOMS|AG.01.h.02.h [Fungi]
A000202|GOAT CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000203|MUSHROOM STEMS|AG.01.h.02.h [Fungi]
A000204|FILLING|AG.01.n.15 [Pastry];AG.01 [Food]
A000205|MUSHROOM CAP|AG.01.h.02.h [Fungi]
A000206|GARLIC BUTTER|AG.01.h.02.e [Onion/leek/garlic];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A000207|FILLED MUSHROOM CAPS|AG.01.h.02.h [Fungi]
A000208|CAJUN SEASONING|AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive]
A000209|HOT SAUCE|AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01 [Food]
A000210|JUICES|AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01 [Food];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation]
A000211|RANCH SALAD DRESSING|AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables]
A000212|TURKEY|AG.01.d.06 [Fowls]
A000213|SPINACH|AG.01.h.02.c [Leaf vegetables]
A000214|ONION POWDER|AG.01.h.02.e [Onion/leek/garlic];AG.01.l [Additive]
A000215|EVAPORATED MILK|AG.01.a [Qualities of food];AG.01.e [Dairy produce]
A000216|BAKING POWDER|AG.01.t.07 [Cooking];AG.01 [Food]
A000217|BRINE|AG.01 [Food]
A000218|ONION RINGS|AG.01.h.02.e [Onion/leek/garlic]
A000219|PICKLING SPICE|AG.01.l.03 [Spice];AG.01.l [Additive]
A000220|FISH SAUCE|AG.01.d.07 [Seafood];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000221|RED PEPPER FLAKES|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.t.05 [Preparation for table/cooking];AG.01.w [Setting table]
A000222|DIPPING SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A000223|ROOM TEMPERATURE WATER|AG.01.z [Water]
A000224|RICE VERMICELLI|AG.01.n.02 [Soup/pottage];AG.01.i [Corn/cereals/grain];AG.01.n [Dishes and prepared food]
A000225|SHRIMP|AG.01.d.07 [Seafood]
A000226|RICE VERMICELLI NOODLES|AG.01.n.02 [Soup/pottage];AG.01.i [Corn/cereals/grain];AG.01.n [Dishes and prepared food]
A000227|VERMICELLI|AG.01.n.02 [Soup/pottage];AG.01.n [Dishes and prepared food]
A000228|SHRIMP HALVES|AG.01.d.07 [Seafood]
A000229|CHOPPED LETTUCE|AG.01.h.02.c [Leaf vegetables]
A000230|MINT|AG.01.n.17.a [Sweets];AG.01.h.02.i [Herb];AF.12 [Particular plants/herbs/shrubs]
A000231|THAI BASIL|AF.20.e [Particular vegetables];AF.12 [Particular plants/herbs/shrubs]
A000232|SPRING ROLL|AG.01 [Food]
A000233|FLOUR-BUTTER MIXTURE|AG.01.j [Meal];AG.01.k [Flour];AG.01.e.01 [Butter]
A000234|BLACK OLIVES|AG.01.ad [Coffee];AG.01.h.01.e [Fruit containing stone]
A000235|PAPRIKA|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice]
A000236|ONION MIXTURE|AG.01.h.02.e [Onion/leek/garlic];AG.01.af [Tea manufacture]
A000237|HOT OIL|AG.01.f [Fat/oil];AG.01 [Food]
A000238|FRIED TORTILLAS|AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.t.07 [Cooking]
A000239|CHORIZO|AG.01 [Food]
A000240|DICED POTATO|AG.01.h.02.a [Root vegetable]
A000241|POTATOES|AF.20.e [Particular vegetables];AG.01.h.02.a [Root vegetable]
A000242|GRATED CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000243|CHORIZO MIXTURE|AG.01.n.05 [Sausage];AG.01.af [Tea manufacture]
A000244|CAYENNE PEPPER|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000245|YOGURT|AG.01.e [Dairy produce];AG.01 [Food]
A000246|GREEN ONION|AG.01.h.02.e [Onion/leek/garlic];AG.01.d [Animals for food];AG.01.y.01.a [Wine];AG.01.t.07 [Cooking];AG.01.o [Animal food]
A000247|CAYENNE|AG.01 [Food]
A000248|SALMON MIXTURE|AG.01.d.07 [Seafood];AG.01.af [Tea manufacture]
A000249|BUTTER MIXTURE|AG.01.af [Tea manufacture];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A000250|PASTE-LIKE DOUGH|AG.01.n.11 [Bread]
A000251|DOUGH|AG.01.n.11 [Bread]
A000252|THYME|AG.01.h.02.i [Herb]
A000253|COOLED DOUGH|AG.01.n.11 [Bread]
A000254|POPCORN|AG.01 [Food]
A000255|UNPOPPED KERNELS|AF.10.h [Reproductive product - fruit, nut]
A000256|CHOPPED PEANUTS|AG.01.h.01.f [Nut]
A000257|CORN SYRUP|AG.01.i [Corn/cereals/grain];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000258|SAMBAL OELEK|AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01 [Food]
A000259|LIME ZEST|AG.01.l [Additive];AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A000260|BAKING SODA|AG.01.aa [Aerated/carbonated drink];AG.01.t.07 [Cooking];AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AAG.01.m [Substances for food preparation]
A000261|BROWN SUGAR MIXTURE|AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000262|LEBANESE BREADS|AG.01.n.11 [Bread]
A000263|TABBOULEH|AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables]
A000264|FETA CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000265|SHALLOT|AG.01 [Food]
A000266|VERMOUTH|AG.01.y.01.a [Wine]
A000267|DIP|AG.01.l.04 [Sauce/dressing]
A000268|PINE NUTS|AG.01.h.01.f [Nut]
A000269|CHEESE MIXTURE|AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese]
A000270|PORK|AG.01.d.05 [Pork]
A000271|WATER CHESTNUTS|AG.01.z [Water]
A000272|BAMBOO SHOOTS|AG.01.h.02.c [Leaf vegetables]
A000273|BEAN SPROUTS|AF.10.b [Shoot/sprout/branch];AF.10.i [Seed];AF.06 [Plants defined by growth/development];AF.20.f [Pulses/plants producing pulses]
A000274|BOK CHOY|AG.01.h.02.c [Leaf vegetables]
A000275|SHERRY|AG.01.y.01.a [Wine]
A000276|PORK MIXTURE|AG.01.d.05 [Pork];AG.01.af [Tea manufacture]
A000277|WONTON|AG.01 [Food]
A000278|PEANUT BUTTER|AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food];AG.01.h.01.f [Nut]
A000279|CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.t.08 [Equipment for food preparation];AG.01 [Food];AG.01.h.01 [Fruit/a fruit];AG.01.t.07 [Cooking];AG.01.n.11 [Bread];AG.01.m [Substances for food preparation]
A000280|SYRUP MIXTURE|AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A000281|CASHEWS|AG.01 [Food]
A000282|OATMEAL|AG.01.j [Meal];AG.01.n.02 [Soup/pottage]
A000283|CRISPY RICE CEREAL|AG.01.i [Corn/cereals/grain]
A000284|FLAX SEED MEAL|AG.01.j [Meal];AG.01.r [Meal]
A000285|BEER|AG.01.y.01.b [Ale/beer]
A000286|CARBONATION|AG.01 [Food]
A000287|SHREDDED CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000288|DRY MUSTARD POWDER|AG.01.l.03 [Spice];AG.01.ak.02 [Thirst]
A000289|FLAT BEER|AG.01.y [Drink];AG.01.y.01.b [Ale/beer]
A000290|SEASONING|AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive]
A000291|CHEESE SPREAD|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000292|GREEN CHILE PEPPERS|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.t.07 [Cooking];AG.01.o [Animal food]
A000293|BREAD|AG.01.n.11 [Bread]
A000294|ROMANO CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A000295|SLICED FRENCH BREAD|AG.01.n.11 [Bread];AG.01.t.05 [Preparation for table/cooking]
A000296|WAFERS|AG.01.n.13 [Cake];AG.01.n.17.b [Ices]
A000297|MARINADE|AG.01.m [Substances for food preparation]
A000298|CHILI PEPPER|AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table]
A000299|DICED AVOCADO|AG.01.h.01.e [Fruit containing stone]
A000300|LIME WEDGES|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A000301|CHILLED DOUGH|AG.01.n.11 [Bread];AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling]
A000302|OLIVE|AG.01.h.01.e [Fruit containing stone];AE.08.i [Class Insecta (insects)];AF.20 [Particular food plant/product]
A000303|VEGETABLE SOUP MIX|AG.01.m [Substances for food preparation];AG.01.n.02 [Soup/pottage]
A000304|TACO MIX|AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.m [Substances for food preparation]
A000305|BEAN DIP|AG.01.l.04 [Sauce/dressing]
A000306|SOUR CREAM MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food]
A000307|AVOCADOS|AG.01.h.01.e [Fruit containing stone]
A000308|CHEESE DIP|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.l.04 [Sauce/dressing]
A000309|HOT WATER|AG.01.z [Water];AG.01 [Food]
A000310|RAISINS|AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A000311|APPLESAUCE|AG.01.h.01.c [Apple];AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01 [Food]
