,ID,Food Concept,Semantic Tags,pure tag
44,A000044,PICKLE PIECE,AG.01.n.11 [Bread];AG.01.t.06 [Preserving/pickling],AG.01.n.11;AG.01.t.06
45,A000045,MEAT,AG.01.d [Animals for food];AG.01.n [Dishes and prepared food];AG.01 [Food],AG.01.d;AG.01.n;AG.01
46,A000046,DRY RANCH SALAD DRESSING MIX,AG.01.m [Substances for food preparation];AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables],AG.01.m;AG.01.n.09;AG.01.h.02
47,A000047,MILK,AG.01.a [Qualities of food];AG.01.e [Dairy produce];AE.10 [Fish],AG.01.a;AG.01.e;AE.10
48,A000048,CHEDDAR CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
49,A000049,RICE,AG.01.i [Corn/cereals/grain];AF.20.g [Cereal/corn/grain],AG.01.i;AF.20.g
50,A000050,COLD WATER,AG.01.z [Water],AG.01.z
51,A000051,GROUND LAMB,AG.01.d.04 [Mutton];AG.01.t.05 [Preparation for table/cooking],AG.01.d.04;AG.01.t.05
52,A000052,ALLSPICE,AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.l.03;AG.01.w
53,A000053,PEPPER,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.w
54,A000054,MEAT MIXTURE,AG.01.d [Animals for food];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food];AG.01 [Food],AG.01.d;AG.01.af;AG.01.n;AG.01
55,A000055,LEAF,AF.10.e [Leaf],AF.10.e
56,A000056,LEAF-ROLLS,AG.01 [Food],AG.01
57,A000057,ROLLS,AG.01.n.11 [Bread];AE [Animals],AG.01.n.11;AE
58,A000058,GRAPE LEAVES,AG.01.h.01.b [Berry];AF.10.e [Leaf],AG.01.h.01.b;AF.10.e
59,A000059,BEET JUICE,AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash],AG.01.l.02;AG.01.ab
60,A000060,BROWN SUGAR,AG.01 [Food],AG.01
61,A000061,VINEGAR,AG.01.ae.01 [Wine-making];AG.01.l [Additive],AG.01.ae.01;AG.01.l
62,A000062,CLOVES,AG.01.l.03 [Spice];AG.01.h.02.e [Onion/leek/garlic],AG.01.l.03;AG.01.h.02.e
63,A000063,CINNAMON STICK,AG.01.l.03 [Spice],AG.01.l.03
64,A000064,BEETS,AG.01 [Food],AG.01
65,A000065,LIQUID MIXTURE,AG.01 [Food],AG.01
66,A000066,HARD COOKED EGGS,AG.01.t.07 [Cooking];AG.01.g [Eggs],AG.01.t.07;AG.01.g
67,A000067,SHELLS,"AE.12.b [Order Chelonia (turtles, tortoises)];AE.08 [Invertebrates];AE.07.d [Covering/skin];AG.01.o [Animal food];AF.10 [Part of plant]",AE.12.b;AE.08;AE.07.d;AG.01.o;AF.10
68,A000068,LIQUID,AG.01.b [Consistency of food];AG.01 [Food],AG.01.b;AG.01
69,A000069,EGGS,AG.01.g [Eggs],AG.01.g
70,A000070,EGG WHITES,AG.01.k [Flour];AG.01.y.01.a [Wine];AG.01.g [Eggs],AG.01.k;AG.01.y.01.a;AG.01.g
71,A000071,VANILLA EXTRACT,AF.20.h [Yielding condiments/used in food preparation];AF.12 [Particular plants/herbs/shrubs],AF.20.h;AF.12
72,A000072,WHITE SUGAR,AG.01.l.02 [Sweetener (syrup/honey/chocolate)],AG.01.l.02
73,A000073,CINNAMON,AG.01.l.03 [Spice];AE.13.a [Wild/domestic birds],AG.01.l.03;AE.13.a
74,A000074,ALMOND MIXTURE,AG.01.af [Tea manufacture];AG.01.n.17 [Confections/sweetmeats];AG.01.h.01.f [Nut],AG.01.af;AG.01.n.17;AG.01.h.01.f
75,A000075,COATING,AG.01 [Food],AG.01
76,A000076,CORN,AF.20.g [Cereal/corn/grain];AG.01.i [Corn/cereals/grain];AG.01 [Food],AF.20.g;AG.01.i;AG.01
77,A000077,ORANGE BELL PEPPER,AG.01.l.03 [Spice],AG.01.l.03
78,A000078,JALAPENO PEPPER,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.w
79,A000079,RED ONION,AG.01.h.02.e [Onion/leek/garlic];AG.01.d [Animals for food],AG.01.h.02.e;AG.01.d
80,A000080,CILANTRO,AG.01 [Food],AG.01
81,A000081,LIME JUICE,AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation];AG.01.h.01.a [Citrus fruit],AG.01.y.01.a;AG.01.ab;AG.01.l.02;AG.01.m;AG.01.h.01.a
82,A000082,CRUSHED RED PEPPER,AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.l.03;AG.01.w
83,A000083,CHICKEN,AG.01.d.06 [Fowls];AE.13.h.01 [Genus Gallus (domestic fowl)],AG.01.d.06;AE.13.h.01
84,A000084,CABBAGE,AG.01.h.02.d [Cabbage/kale];AG.01.h.02.c [Leaf vegetables],AG.01.h.02.d;AG.01.h.02.c
85,A000085,CARROTS,AG.01.h.02.a [Root vegetable],AG.01.h.02.a
86,A000086,GREEN ONIONS,AG.01.h.02.e [Onion/leek/garlic];AG.01.d [Animals for food];AG.01.y.01.a [Wine];AG.01.t.07 [Cooking];AG.01.o [Animal food],AG.01.h.02.e;AG.01.d;AG.01.y.01.a;AG.01.t.07;AG.01.o
87,A000087,GREEN BEANS,AF.20.f [Pulses/plants producing pulses],AF.20.f
88,A000088,GREEN BELL PEPPER,AG.01.l.03 [Spice],AG.01.l.03
89,A000089,ZUCCHINI,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
90,A000090,FLOUR,AG.01.j [Meal];AG.01.k [Flour],AG.01.j;AG.01.k
91,A000091,CHICKEN STOCK,AG.01.d.06 [Fowls];AE.13.h.01 [Genus Gallus (domestic fowl)],AG.01.d.06;AE.13.h.01
92,A000092,SOY SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
93,A000093,BATTER,AG.01.m [Substances for food preparation];AG.01 [Food],AG.01.m;AG.01
94,A000094,SESAME OIL,AG.01.i [Corn/cereals/grain];AG.01.f [Fat/oil],AG.01.i;AG.01.f
95,A000095,PORK SAUSAGE,AG.01.d.05 [Pork];AG.01.n.05 [Sausage],AG.01.d.05;AG.01.n.05
96,A000096,SAUSAGE,AG.01.n.05 [Sausage],AG.01.n.05
97,A000097,SAUSAGE MIXTURE,AG.01.n.05 [Sausage];AG.01.af [Tea manufacture],AG.01.n.05;AG.01.af
98,A000098,DRAINED SAUERKRAUT,AG.01 [Food],AG.01
99,A000099,MUSTARD,AG.01.l.03 [Spice],AG.01.l.03
100,A000100,GARLIC SALT,AG.01.h.02.e [Onion/leek/garlic];AG.01.l.01 [Salt];AG.01.w [Setting table],AG.01.h.02.e;AG.01.l.01;AG.01.w
101,A000101,BREAD CRUMBS,AG.01.n.11 [Bread];AG.01.p [Amounts of food],AG.01.n.11;AG.01.p
102,A000102,PARSLEY,AG.01.h.02.i [Herb],AG.01.h.02.i
103,A000103,SAUERKRAUT MIXTURE,AG.01.af [Tea manufacture],AG.01.af
104,A000104,EGG,AG.01.g [Eggs],AG.01.g
105,A000105,FLOURED BALLS,AG.01 [Food],AG.01
106,A000106,EGG MIXTURE,AG.01.af [Tea manufacture];AG.01.g [Eggs],AG.01.af;AG.01.g
107,A000107,GROUND BEEF,AG.01.d.03 [Beef];AG.01.t.05 [Preparation for table/cooking],AG.01.d.03;AG.01.t.05
108,A000108,CRUMBLES,AG.01.n.08 [Prepared fruit and dishes],AG.01.n.08
109,A000109,FAT,AG.01.t.07 [Cooking];AG.01.f [Fat/oil],AG.01.t.07;AG.01.f
110,A000110,SOUR CREAM,AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food],AG.01.e;AG.01.n
111,A000111,KETCHUP,AG.01 [Food],AG.01
112,A000112,GARLIC POWDER,AG.01.h.02.e [Onion/leek/garlic];AG.01.l [Additive],AG.01.h.02.e;AG.01.l
113,A000113,BISCUITS,AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit],AG.01.n.11;AG.01.n.13;AG.01.n.14
114,A000114,BISCUIT,AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit],AG.01.n.11;AG.01.n.13;AG.01.n.14
115,A000115,BEEF MIXTURE,AG.01.d.03 [Beef];AG.01.af [Tea manufacture],AG.01.d.03;AG.01.af
116,A000116,MELTED BUTTER,AG.01.e.01 [Butter];AG.01.t.07 [Cooking];AG.01.n [Dishes and prepared food],AG.01.e.01;AG.01.t.07;AG.01.n
117,A000117,PEPPERONI,AG.01 [Food],AG.01
118,A000118,BANANA PEPPERS,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table];AG.01.h.01 [Fruit/a fruit],AG.01.h.02.f;AG.01.l.03;AG.01.w;AG.01.h.01
119,A000119,NACHOS,AG.01 [Food],AG.01
120,A000120,PIZZA SAUCE,AG.01.n.11 [Bread];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.n.11;AG.01.h;AG.01.l.04
121,A000121,RANCH DRESSING MIX,AG.01.m [Substances for food preparation];AG.01.t.05 [Preparation for table/cooking],AG.01.m;AG.01.t.05
122,A000122,DILL,AG.01.l.03 [Spice];AG.01.h.02.i [Herb],AG.01.l.03;AG.01.h.02.i
123,A000123,SALTED WATER,AG.01.z [Water];AG.01.t.05 [Preparation for table/cooking],AG.01.z;AG.01.t.05
124,A000124,SPAGHETTI,AG.01.n [Dishes and prepared food],AG.01.n
125,A000125,BOILING WATER,AG.01.z [Water];AG.01.t.07 [Cooking],AG.01.z;AG.01.t.07
126,A000126,COOKING SPRAY,AG.01.t.07 [Cooking];AG.01.f [Fat/oil],AG.01.t.07;AG.01.f
127,A000127,COOLED SPAGHETTI,AG.01.n [Dishes and prepared food],AG.01.n
128,A000128,NOODLES,AG.01.n [Dishes and prepared food],AG.01.n
129,A000129,MEATBALLS,AG.01.p [Amounts of food];AG.01 [Food],AG.01.p;AG.01
130,A000130,PASTA SAUCE,AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01.n [Dishes and prepared food],AG.01.l.04;AG.01.h;AG.01.n
131,A000131,MEATBALL,AE [Animals];AG.01 [Food],AE;AG.01
132,A000132,PASTA,AG.01 [Food],AG.01
133,A000133,NUT,AG.01.d [Animals for food];AG.01.h.01.f [Nut],AG.01.d;AG.01.h.01.f
134,A000134,SHELL,"AE.12.b [Order Chelonia (turtles, tortoises)];AE.08 [Invertebrates];AG.01 [Food];AF.10.l [Wood, other part of tree/woody plant];AE.07.d [Covering/skin];AE.08.c [Phylum Mollusca (moluscs)];AF.10.h [Reproductive product - fruit, nut];AG.01.o [Animal food]",AE.12.b;AE.08;AG.01;AF.10.l;AE.07.d;AE.08.c;AF.10.h;AG.01.o
135,A000135,NUTS,"AF.10.h [Reproductive product - fruit, nut];AG.01.d [Animals for food];AG.01.h.01.f [Nut]",AF.10.h;AG.01.d;AG.01.h.01.f
136,A000136,BUTTER,AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.e.01 [Butter];AG.01.n.11 [Bread];AG.01.m [Substances for food preparation],AG.01.e;AG.01.n;AG.01.e.01;AG.01.n.11;AG.01.m
137,A000137,CHESTNUTS,AE.14.j [Family Equidae (general equines)];AG.01.h.01.c [Apple];AF.13 [Particular tree/shrub],AE.14.j;AG.01.h.01.c;AF.13
138,A000138,CRACKER CRUMBS,AG.01.n.11 [Bread];AG.01 [Food],AG.01.n.11;AG.01
139,A000139,CHOPPED ONION,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
140,A000140,NUTMEG,AG.01.h.01.c [Apple];AG.01.h.01.d [Pear];AG.01.h.01 [Fruit/a fruit];AG.01.l.03 [Spice];AG.01.h.01.e [Fruit containing stone],AG.01.h.01.c;AG.01.h.01.d;AG.01.h.01;AG.01.l.03;AG.01.h.01.e
141,A000141,SUGAR,AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01 [Food],AG.01.l.02;AG.01
142,A000142,BACON SLICES,AG.01.d.05 [Pork];AG.01.t.08 [Equipment for food preparation],AG.01.d.05;AG.01.t.08
143,A000143,BACON SLICE,AG.01.d.05 [Pork];AG.01.t.08 [Equipment for food preparation],AG.01.d.05;AG.01.t.08
144,A000144,BACON-WRAPPED CHICKEN PIECES,AG.01.d.06 [Fowls];AG.01.n.11 [Bread],AG.01.d.06;AG.01.n.11
145,A000145,SUGAR-RANCH DRESSING MIXTURE,AG.01.m [Substances for food preparation];AG.01.l.02 [Sweetener (syrup/honey/chocolate)],AG.01.m;AG.01.l.02
146,A000146,BACON WRAPS,AG.01.d.05 [Pork],AG.01.d.05
147,A000147,BACON,AG.01.d.05 [Pork],AG.01.d.05
148,A000148,CRUST,AG.01.n.11 [Bread];AG.01.n.15 [Pastry],AG.01.n.11;AG.01.n.15
149,A000149,PEANUTS,AG.01.h.01.f [Nut],AG.01.h.01.f
150,A000150,SYRUP,AG.01.l.02 [Sweetener (syrup/honey/chocolate)],AG.01.l.02
151,A000151,WINGS,AE.13 [Class Aves (birds)];AE.07.b [Body and limbs];AG.01 [Food],AE.13;AE.07.b;AG.01
152,A000152,WHITE PEPPER,AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.l.03;AG.01.w
153,A000153,MARGARINE,AG.01.f [Fat/oil],AG.01.f
154,A000154,HOT PEPPER SAUCE,AG.01.h [Fruit and vegetables];AG.01 [Food];AG.01.l.03 [Spice];AG.01.l.04 [Sauce/dressing];AG.01.h.02.f [Fruits as vegetables];AG.01.w [Setting table],AG.01.h;AG.01;AG.01.l.03;AG.01.l.04;AG.01.h.02.f;AG.01.w
155,A000155,CHICKEN WINGS,AG.01.d.06 [Fowls],AG.01.d.06
156,A000156,BLUE CHEESE DRESSING,AG.01.e.02 [Cheese],AG.01.e.02
157,A000157,BLUE CHEESE,AG.01 [Food],AG.01
158,A000158,BAKED CHICKEN WINGS,AG.01.d.06 [Fowls];AG.01.t.07 [Cooking],AG.01.d.06;AG.01.t.07
159,A000159,CRABMEAT,AG.01.d.07 [Seafood];AG.01 [Food],AG.01.d.07;AG.01
160,A000160,GINGER,AG.01.l.03 [Spice],AG.01.l.03
161,A000161,PATTIES,AG.01.n.17.a [Sweets];AG.01.n.15 [Pastry];AG.01.n [Dishes and prepared food],AG.01.n.17.a;AG.01.n.15;AG.01.n
162,A000162,CRAB CAKES,AG.01.d.07 [Seafood];AG.01.n.13 [Cake];AG.01.o [Animal food],AG.01.d.07;AG.01.n.13;AG.01.o
163,A000163,RICE VINEGAR,AG.01.ae.01 [Wine-making];AG.01.i [Corn/cereals/grain];AG.01.l [Additive],AG.01.ae.01;AG.01.i;AG.01.l
164,A000164,SEAWEED SHEETS,"AF.19 [Algae, seaweed]",AF.19
165,A000165,CUCUMBER,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
166,A000166,IMITATION CRABMEAT,AG.01.d.07 [Seafood];AG.01 [Food],AG.01.d.07;AG.01
167,A000167,SUSHI,AG.01 [Food],AG.01
168,A000168,TOPPINGS,AG.01 [Food],AG.01
169,A000169,SEAWEED SHEET,"AF.19 [Algae, seaweed]",AF.19
170,A000170,ROLL,AG.01.n.11 [Bread],AG.01.n.11
171,A000171,MINCED GINGER,AG.01.l.03 [Spice],AG.01.l.03
172,A000172,CAULIFLOWER,AG.01.h.02.d [Cabbage/kale],AG.01.h.02.d
173,A000173,ITALIAN DRESSING,AG.01.l.04 [Sauce/dressing],AG.01.l.04
174,A000174,BACON BITS,AG.01.d.05 [Pork],AG.01.d.05
175,A000175,SALMON,AG.01.d.07 [Seafood];AG.01.h.02.a [Root vegetable],AG.01.d.07;AG.01.h.02.a
176,A000176,HORSERADISH,AG.01 [Food],AG.01
177,A000177,PECANS,AG.01.t.07 [Cooking];AG.01.h.01.f [Nut],AG.01.t.07;AG.01.h.01.f
178,A000178,ASSORTED CRACKERS,AG.01 [Food],AG.01
179,A000179,SHRIMP SOUP,AG.01.d.07 [Seafood];AG.01.n.02 [Soup/pottage],AG.01.d.07;AG.01.n.02
180,A000180,BLACK-EYED PEAS,AG.01.h.02.g [Pulse],AG.01.h.02.g
181,A000181,TOMATOES,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
182,A000182,BALSAMIC VINEGAR,AG.01.ae.01 [Wine-making];AG.01.l [Additive],AG.01.ae.01;AG.01.l
183,A000183,JALAPENO PEPPERS,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.w
184,A000184,UNPOPPED POPCORN,AG.01 [Food],AG.01
185,A000185,COATED CORN,AG.01.i [Corn/cereals/grain],AG.01.i
186,A000186,SOY SAUCE MIXTURE,AG.01.af [Tea manufacture];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.af;AG.01.h;AG.01.l.04
187,A000187,PEACHES,AG.01.h.01.e [Fruit containing stone];AG.01.y.01.e [Brandy],AG.01.h.01.e;AG.01.y.01.e
188,A000188,RED BELL PEPPER,AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.l.03;AG.01.w
189,A000189,BLACK PEPPER,AG.01 [Food],AG.01
190,A000190,AVOCADO,AG.01.h.01.e [Fruit containing stone],AG.01.h.01.e
191,A000191,SALSA,AG.01.l.04 [Sauce/dressing],AG.01.l.04
192,A000192,BROWN BEEF,AG.01.d.03 [Beef],AG.01.d.03
193,A000193,TACO SAUCE,AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.n.12;AG.01.h;AG.01.l.04
194,A000194,CHILI POWDER,AG.01.l [Additive];AG.01 [Food],AG.01.l;AG.01
195,A000195,CUMIN,AG.01 [Food],AG.01
196,A000196,BEAN MIXTURE,AG.01.af [Tea manufacture];AG.01 [Food],AG.01.af;AG.01
197,A000197,CASSEROLE,AG.01.n.01 [Food by way of preparation];AG.01.n [Dishes and prepared food],AG.01.n.01;AG.01.n
198,A000198,ONIONS,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
199,A000199,PEPPERS,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.w
200,A000200,MUSHROOM CAPS,AG.01.h.02.h [Fungi],AG.01.h.02.h
201,A000201,MUSHROOMS,AG.01.h.02.h [Fungi],AG.01.h.02.h
202,A000202,GOAT CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
203,A000203,MUSHROOM STEMS,AG.01.h.02.h [Fungi],AG.01.h.02.h
204,A000204,FILLING,AG.01.n.15 [Pastry];AG.01 [Food],AG.01.n.15;AG.01
205,A000205,MUSHROOM CAP,AG.01.h.02.h [Fungi],AG.01.h.02.h
206,A000206,GARLIC BUTTER,AG.01.h.02.e [Onion/leek/garlic];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food],AG.01.h.02.e;AG.01.e.01;AG.01.n
207,A000207,FILLED MUSHROOM CAPS,AG.01.h.02.h [Fungi],AG.01.h.02.h
208,A000208,CAJUN SEASONING,AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive],AG.01.t.05;AG.01.l
209,A000209,HOT SAUCE,AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01 [Food],AG.01.l.04;AG.01.h;AG.01
210,A000210,JUICES,AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01 [Food];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation],AG.01.y.01.a;AG.01.ab;AG.01;AG.01.l.02;AG.01.m
211,A000211,RANCH SALAD DRESSING,AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables],AG.01.n.09;AG.01.h.02
212,A000212,TURKEY,AG.01.d.06 [Fowls],AG.01.d.06
213,A000213,SPINACH,AG.01.h.02.c [Leaf vegetables],AG.01.h.02.c
214,A000214,ONION POWDER,AG.01.h.02.e [Onion/leek/garlic];AG.01.l [Additive],AG.01.h.02.e;AG.01.l
215,A000215,EVAPORATED MILK,AG.01.a [Qualities of food];AG.01.e [Dairy produce],AG.01.a;AG.01.e
216,A000216,BAKING POWDER,AG.01.t.07 [Cooking];AG.01 [Food],AG.01.t.07;AG.01
217,A000217,BRINE,AG.01 [Food],AG.01
218,A000218,ONION RINGS,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
219,A000219,PICKLING SPICE,AG.01.l.03 [Spice];AG.01.l [Additive],AG.01.l.03;AG.01.l
220,A000220,FISH SAUCE,AG.01.d.07 [Seafood];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.d.07;AG.01.h;AG.01.l.04
221,A000221,RED PEPPER FLAKES,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.t.05 [Preparation for table/cooking];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.t.05;AG.01.w
222,A000222,DIPPING SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
223,A000223,ROOM TEMPERATURE WATER,AG.01.z [Water],AG.01.z
224,A000224,RICE VERMICELLI,AG.01.n.02 [Soup/pottage];AG.01.i [Corn/cereals/grain];AG.01.n [Dishes and prepared food],AG.01.n.02;AG.01.i;AG.01.n
225,A000225,SHRIMP,AG.01.d.07 [Seafood],AG.01.d.07
226,A000226,RICE VERMICELLI NOODLES,AG.01.n.02 [Soup/pottage];AG.01.i [Corn/cereals/grain];AG.01.n [Dishes and prepared food],AG.01.n.02;AG.01.i;AG.01.n
227,A000227,VERMICELLI,AG.01.n.02 [Soup/pottage];AG.01.n [Dishes and prepared food],AG.01.n.02;AG.01.n
